transformed_feature,coefficient,odds_ratio,absolute_coefficient
categorical__property_state_FL,1.3604030225173307,3.8977638718940097,1.3604030225173307
categorical__property_state_KY,-1.0726423073524114,0.3421033798436494,1.0726423073524114
categorical__property_state_NH,-0.9339460890710739,0.39299983417046314,0.9339460890710739
categorical__property_state_LA,0.9324413627673167,2.5407043932648343,0.9324413627673167
categorical__property_state_RI,-0.9006625189755991,0.4063003888345098,0.9006625189755991
categorical__property_state_HI,0.7987784117659996,2.222823893766642,0.7987784117659996
categorical__property_state_OR,-0.7596816675315691,0.4678153241161559,0.7596816675315691
categorical__property_state_TX,0.7353467093745817,2.086205174022012,0.7353467093745817
numeric__credit_score,-0.7231671015862768,0.48521310073501955,0.7231671015862768
categorical__property_state_VT,0.6880293432913448,1.989790473095646,0.6880293432913448
categorical__property_state_AZ,-0.6683134386033599,0.5125723339042836,0.6683134386033599
categorical__property_state_VA,-0.6533783655304585,0.5202850910979726,0.6533783655304585
categorical__property_state_DE,0.6424719691564512,1.9011747206697378,0.6424719691564512
categorical__property_state_SD,0.638664978627247,1.893950726078166,0.638664978627247
categorical__property_state_MO,-0.6178352858991455,0.539110194814531,0.6178352858991455
categorical__property_state_MN,-0.6134935601575163,0.541455952057328,0.6134935601575163
categorical__property_state_DC,-0.590544987848413,0.5540252654061901,0.590544987848413
categorical__property_state_GA,-0.49356120414726223,0.6104485866389665,0.49356120414726223
categorical__occupancy_status_S,-0.44337377130836136,0.6418672506840969,0.44337377130836136
numeric__number_of_borrowers,-0.4368431187067696,0.6460727801938303,0.4368431187067696
categorical__property_state_MS,-0.4294758101487683,0.6508501743763407,0.4294758101487683
categorical__loan_purpose_P,-0.4248635071797439,0.6538590261018553,0.4248635071797439
categorical__property_state_IN,-0.4214883393493578,0.6560696385478053,0.4214883393493578
categorical__property_state_MI,-0.3854611747769669,0.6801369018829374,0.3854611747769669
categorical__property_state_ND,0.3801823779719913,1.4625513022526517,0.3801823779719913
categorical__property_state_TN,-0.3571829089150223,0.6996445148112536,0.3571829089150223
categorical__channel_R,-0.3487343688154213,0.705580529571189,0.3487343688154213
categorical__number_of_units_4,0.33678782409950575,1.400441892193764,0.33678782409950575
categorical__harp_indicator_Y,-0.3363498953216214,0.7143731062739954,0.3363498953216214
categorical__property_state_IA,0.33266613118981236,1.3946815800499803,0.33266613118981236
categorical__property_type_CP,-0.3156352219306767,0.7293254435776096,0.3156352219306767
categorical__property_state_NJ,-0.3071610497953719,0.7355321340682981,0.3071610497953719
categorical__property_state_KS,-0.29892728337883795,0.7416133350902775,0.29892728337883795
categorical__property_state_WV,-0.29340075572694807,0.7457232279514049,0.29340075572694807
categorical__property_state_MT,-0.29090221003847067,0.7475887811218036,0.29090221003847067
categorical__property_state_AR,0.29011772943508285,1.3365848341406195,0.29011772943508285
categorical__channel_C,-0.2861151081169659,0.7511761444986957,0.2861151081169659
categorical__property_state_WA,-0.278736893597748,0.7567389798951685,0.278736893597748
categorical__loan_purpose_N,-0.273893573992477,0.7604129986741452,0.273893573992477
categorical__property_state_MA,-0.2673228494079629,0.7654259142669826,0.2673228494079629
categorical__property_type_PU,0.2595121395001128,1.2962975200200586,0.2595121395001128
categorical__property_state_IL,-0.2592792136369072,0.7716075496133507,0.2592792136369072
numeric__original_cltv_capped_200,0.2542427981340121,1.289484850778318,0.2542427981340121
numeric__original_dti,0.2528370413718671,1.2876734222419148,0.2528370413718671
categorical__property_state_WI,-0.24603621899994937,0.7818939049973151,0.24603621899994937
categorical__property_state_OH,-0.24582493605746839,0.7820591232955604,0.24582493605746839
categorical__property_type_SF,0.2294616087410639,1.2579225730650418,0.2294616087410639
categorical__property_state_AL,-0.21427787707366283,0.8071240725831105,0.21427787707366283
categorical__number_of_units_3,-0.21314683750274324,0.8080374782994756,0.21314683750274324
categorical__property_state_NE,-0.2090451240766968,0.8113586230086287,0.2090451240766968
categorical__super_conforming_flag_Y,-0.18735960073809008,0.8291455214279685,0.18735960073809008
categorical__property_state_SC,0.1736022914327052,1.1895823646305999,0.1736022914327052
categorical__property_state_CA,-0.17109303393289763,0.842743166113238,0.17109303393289763
categorical__occupancy_status_P,0.17101802995699733,1.1865121415917472,0.17101802995699733
categorical__number_of_units_2,-0.16735084965236333,0.8459027745733033,0.16735084965236333
numeric__original_interest_rate,0.15981803689064117,1.1732973547314887,0.15981803689064117
categorical__property_state_NM,-0.15550171734542723,0.855985606904699,0.15550171734542723
categorical__property_state_NC,-0.15251220196639675,0.8585484179135353,0.15251220196639675
categorical__property_type_MH,0.13650324183286738,1.1462585937485277,0.13650324183286738
categorical__property_state_PA,-0.12659145636115207,0.8810935642473321,0.12659145636115207
numeric__original_dti_missing,0.11933418356444053,1.1267463955052706,0.11933418356444053
categorical__property_state_CO,-0.11914003145405339,0.8876834884487096,0.11914003145405339
categorical__property_state_CT,0.1188892107014889,1.12624513546767,0.1188892107014889
categorical__property_state_MD,-0.11407163449700584,0.892194041721796,0.11407163449700584
categorical__property_state_GU,-0.1124299947137905,0.8936599058362513,0.1124299947137905
numeric__mi_percentage,0.10662043734654864,1.1125119063594355,0.10662043734654864
numeric__original_loan_term,0.07277023939415672,1.0754834048065165,0.07277023939415672
numeric__original_upb_log,-0.0715350531380381,0.9309636438257917,0.0715350531380381
categorical__property_state_PR,-0.06079632763409465,0.9410148789862969,0.06079632763409465
categorical__property_state_UT,0.06022179791427557,1.0620720857967767,0.06022179791427557
categorical__property_state_ID,0.05759972216588672,1.0592909001707118,0.05759972216588672
categorical__property_state_NY,-0.0562353297373464,0.9453166485938618,0.0562353297373464
categorical__property_state_ME,0.05026857486547977,1.051553479288095,0.05026857486547977
categorical__property_state_NV,0.04367612017662257,1.044643960990346,0.04367612017662257
numeric__original_ltv_capped_200,0.0366203000977003,1.0372990836932083,0.0366203000977003
numeric__original_cltv_above_100,-0.026996489414832594,0.9733646585978718,0.026996489414832594
categorical__property_state_WY,0.02225186021604677,1.022501279435855,0.02225186021604677
categorical__property_state_VI,-0.02133445174079058,0.9788915178427604,0.02133445174079058
numeric__original_ltv_above_100,0.013360058972938146,1.0134497033339414,0.013360058972938146
categorical__first_time_homebuyer_indicator_Y,0.005600788340699938,1.0056165020784609,0.005600788340699938
numeric__original_ltv_missing,-0.004951809978412488,0.9950604300209009,0.004951809978412488
numeric__original_cltv_missing,-0.004951809978412488,0.9950604300209009,0.004951809978412488
categorical__property_state_OK,-0.004925496524278501,0.9950866138423787,0.004925496524278501
numeric__credit_score_missing,0.0,1.0,0.0
