population_role,rows,defaults,observed_default_rate,mean_predicted_probability,prediction_to_observed_ratio,roc_auc,average_precision,brier_score,top_decile_lift,top_decile_default_capture
historical_comparison,37555,967,0.025748901610970577,0.032549309706044735,1.2641047838785004,0.8017604621471047,0.09145646616412838,0.025306395804737848,3.815417565607541,0.3815925542916236
later_vintage_test,42064,397,0.00943799923925447,0.008787258201400498,0.9310509546189183,0.8402900434227256,0.05912191728911705,0.009120449680865946,5.037064889451969,0.5037783375314862
model_development,82387,583,0.007076359134329445,0.007142606661599181,1.0093618096555261,0.857077197364105,0.04791231747115839,0.0069106479614440145,5.643019217681374,0.5643224699828473
